"call_Id","date","employee_Id","length_mins","product","outcome","survey_rating","first_Name","last_Name","employee_Id","office_City","office_State","region","team","supervisor"
"C000001",2022-01-05 19:00:00,"E00025",5,"Nokia 680","Return and Refund",3,"Baran","Petersen","E00025","Chadron","Nebraska","North",4,"Channing Tatum"
"C000002",2022-01-04 19:00:00,"E00050",7,"Apple 120","Denied Claim",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000003",2022-01-05 19:00:00,"E00035",19,"Google 790","Issue Resolved",3,"Marianna","Thorpe","E00035","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000004",2022-01-06 19:00:00,"E00050",17,"Nokia 680","Issue Resolved",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000005",2022-01-09 19:00:00,"E00002",16,"Apple 120","Denied Claim",1,"Dahlia","Grey","E00002","Omaha","Nebraska","East",1,"Tom Cruise"
"C000006",2022-01-11 19:00:00,"E00050",21,"Google 790","Denied Claim",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000007",2022-01-13 19:00:00,"E00005",2,"Nokia 680","Return and Refund",1,"Marion","Rosas","E00005","Omaha","Nebraska","East",1,"Tom Cruise"
"C000008",2022-01-16 19:00:00,"E00002",24,"Apple 120","Return and Refund",3,"Dahlia","Grey","E00002","Omaha","Nebraska","East",1,"Tom Cruise"
"C000009",2022-01-17 19:00:00,"E00027",17,"Google 790","Return and Refund",5,"Brayden","Franklin","E00027","Chadron","Nebraska","North",4,"Channing Tatum"
"C000010",2022-01-20 19:00:00,"E00016",14,"Nokia 680","Issue Resolved",4,"Paolo","Vega","E00016","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000011",2022-01-23 19:00:00,"E00050",16,"Apple 120","Issue Resolved",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000012",2022-01-24 19:00:00,"E00020",23,"Google 790","Return and Refund",4,"Giovanni","Porter","E00020","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000013",2022-01-30 19:00:00,"E00009",23,"Nokia 680","Denied Claim",2,"Reanna","Arellano","E00009","Omaha","Nebraska","East",2,"Tom Hanks"
"C000014",2022-01-31 19:00:00,"E00023",25,"Apple 120","Issue Resolved",5,"Harleigh","Murphy","E00023","Chadron","Nebraska","North",4,"Channing Tatum"
"C000015",2022-02-02 19:00:00,"E00018",16,"Google 790","Return and Refund",4,"Maci","Kinney","E00018","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000016",2022-02-03 19:00:00,"E00050",19,"Nokia 680","Issue Resolved",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000017",2022-02-08 19:00:00,"E00026",20,"Apple 120","Return and Refund",3,"Rachael","Legge","E00026","Chadron","Nebraska","North",4,"Channing Tatum"
"C000018",2022-02-09 19:00:00,"E00024",18,"Google 790","Return and Refund",1,"Ramone","Whitehouse","E00024","Chadron","Nebraska","North",4,"Channing Tatum"
"C000019",2022-02-10 19:00:00,"E00031",21,"Nokia 680","Issue Resolved",5,"Fatema","Dowling","E00031","Holdrege","Nebraska","South",5,"Amanda Bynes"
"C000020",2022-02-14 19:00:00,"E00036",7,"Apple 120","Return and Refund",3,"Raya","Hooper","E00036","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000021",2022-02-16 19:00:00,"E00039",20,"Google 790","Return and Refund",3,"April","Gill","E00039","Holdrege","Nebraska","South",6,"Morgan Freeman"
"C000022",2022-02-17 19:00:00,"E00028",16,"Apple 120","Denied Claim",1,"Cyrus","Vaughan","E00028","Chadron","Nebraska","North",4,"Channing Tatum"
"C000023",2022-02-20 19:00:00,"E00020",8,"Google 790","Denied Claim",1,"Giovanni","Porter","E00020","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000024",2022-02-21 19:00:00,"E00015",6,"Nokia 680","Return and Refund",1,"Huzaifa","Benitez","E00015","Chadron","Nebraska","North",3,"Sandra Bullock"
"C000025",2022-02-23 19:00:00,"E00050",11,"Google 790","Issue Resolved",3,"Emilis","Wilks","E00050","Scottsbluff","Nebraska","West",8,"Jennifer Anniston"
"C000026",2022-01-05 19:00:00,"E00033",4,"Apple 120","Denied Claim",2,"Diesel","Leon","E00033","Holdrege","Nebraska","South",5,"Amanda Bynes"
"C000027",2022-01-04 19:00:00,"E00012",18,"Google 790","Denied Claim",2,"Isma","Velez","E00012","Omaha","Nebraska","East",2,"Tom Hanks"
"C000028",2022-01-05 19:00:00,"E00009",18,"Nokia 680","Return and Refund",5,"Reanna","Arellano","E00009","Omaha","Nebraska","East",2,"Tom Hanks"
